Month,New Setups,New Retainer Clients,Active Retainer Clients,Avg Retainer (USD),Setup Revenue (USD),Retainer Revenue (USD),Total Revenue (USD),Tooling+API Costs (USD),VA/Contractor Costs (USD),Net Profit (USD),Cumulative Net (USD),Your Hours/Week
1,1,1,1,400,1500,400,1900,80,0,1820,1820,9
2,1,1,2,450,1500,900,2400,90,0,2310,4130,9
3,2,1,3,500,3000,1500,4500,110,0,4390,8520,9
4,1,1,4,550,1500,2200,3700,130,200,3370,11890,8
5,2,1,5,600,4500,3000,7500,150,200,7150,19040,8
6,1,1,6,650,4500,3900,8400,170,400,7830,26870,8
7,1,1,7,700,1500,4900,6400,190,400,5810,32680,7
8,2,1,8,720,4500,5760,10260,210,600,9450,42130,7
9,1,0,8,740,1500,5920,7420,220,600,6600,48730,7
10,1,1,9,750,1500,6750,8250,240,600,7410,56140,6
11,1,0,9,750,1500,6750,8250,250,800,7200,63340,6
12,1,0,9,760,1500,6840,8340,260,800,7280,70620,6
Year1 Totals,15,9,n/a,n/a,28500,48820,77320,2100,5200,70020,70620,n/a
ASSUMPTIONS,,,,,,,,,,,,
"Conservative: 9 retainer clients by month 12, blended ~$750/mo. Setup revenue is lumpy.",,,,,,,,,,,,
"Tooling near-zero because n8n self-hosted on your Unraid server (no per-task fees).",,,,,,,,,,,,
"VA added month 4 to protect your time as client count grows.",,,,,,,,,,,,
"Net Year-1 profit ~70k at 6-9 hrs/week. This is the funding source for Builds 2 and 3.",,,,,,,,,,,,
"Downside case (-40%): ~5 clients, ~42k net. Upside case (+50%): ~13 clients, ~105k net.",,,,,,,,,,,,
