KPI,Category,Definition,Target,Cadence,Owner,Current,Status
MRR,Growth,Total monthly recurring revenue,Up every month,Monthly,Reporting agent,,
New_Clients,Growth,Net new paying clients this month,>=1,Monthly,You,,
Churn_Rate,Retention,Clients lost / clients start of month,<3%,Monthly,Reporting agent,,
Pipeline_Value,Sales,Sum of open opportunities x prob,>=3x monthly target,Weekly,Outreach agent,,
Discovery_Calls,Sales,Problem-discovery conversations held,>=4/wk early,Weekly,You,,
Reply_Rate,Sales,Outreach replies / messages sent,>=5%,Weekly,Outreach agent,,
Hours_Per_Client,Efficiency,Your delivery hours per client per month,Falling toward <1,Monthly,You,,
Hours_Per_Week,TimeFreedom,Total your hours worked,Falling toward <=5,Weekly,You,,
Automation_Pct,Automation,Automated tasks / total recurring tasks,>=80%,Monthly,You,,
Gross_Margin,Profitability,(Revenue - cash costs) / revenue,>=70%,Monthly,Reporting agent,,
Net_Cash_Profit,Profitability,Revenue minus all cash costs,Up,Monthly,Reporting agent,,
Rev_Per_Hour,Leverage,Revenue / your hours worked,Up,Monthly,Reporting agent,,
QA_Error_Rate,Quality,Documents needing rework / total shipped,<2%,Monthly,You,,
Passive_Contributions,Wealth,Dollars moved to L3 passive engine,Per waterfall,Monthly,You,,
Passive_Income,Wealth,Monthly income from L3+L4 assets,Up,Monthly,You,,
FI_Coverage_Ratio,Wealth,Passive income / monthly expenses,Toward 1.0,Quarterly,You,,
Net_Worth,Wealth,Total assets minus liabilities,Up,Quarterly,You,,
