Year,Annual Contribution (USD),Portfolio Start (USD),Growth @7% real (USD),Portfolio End (USD),Dividend/Income @ ~2.5% blended (USD),Notes
1,24000,0,840,24840,621,Year1: route ~30% of Build1 net profit
2,36000,24840,4259,65099,1627,Business income growing
3,48000,65099,7917,121016,3025,Add Build2 SaaS profit
4,60000,121016,12671,193687,4842,
5,72000,193687,18638,284325,7108,
6,84000,284325,25803,394128,9853,
7,96000,394128,34329,524457,13111,
8,108000,524457,44272,676729,16918,
9,120000,676729,55771,852500,21312,
10,132000,852500,68950,1053450,26336,~1.05M; ~26k/yr passive income
ASSUMPTIONS,,,,,,
"Contributions ramp as business income grows (Builds 1+2). These are aggressive but achievable IF businesses hit targets.",,,,,,
"7% real return is conservative vs historical equity. Actual results will vary widely year to year.",,,,,,
"Dividend/income is blended across sleeves; reinvested during accumulation, available as income later.",,,,,,
"At ~1M+, a 3.5-4% safe withdrawal (~35-42k/yr) plus business cashflow can make employment optional.",,,,,,
"Downside (5% return, half contributions): ~450k at year 10. Still life-changing vs starting from zero.",,,,,,
