Year,Service Net (USD),SaaS Net (USD),Total Business Net (USD),Portfolio Value (USD),Real Estate Equity (USD),Est. Net Worth Added (USD),Your Avg Hours/Week,Notes
1,70000,0,70000,24840,12000,106840,7,Build1 launches; Build3 seeded; Build2 not yet
2,110000,8000,118000,65099,40000,223099,6,Build2 launches mid-year
3,140000,45000,185000,121016,80000,386016,5,SaaS gaining traction
4,160000,90000,250000,193687,140000,583687,5,Both businesses mature
5,170000,130000,300000,284325,220000,804325,4,Approaching critical mass
7,180000,180000,360000,524457,400000,1284457,4,First acquisition possible
10,190000,200000,390000,1053450,750000,2193450,3,Employment optional
ASSUMPTIONS,,,,,,,,
"This is the CONVERGENCE case: both businesses execute near plan AND profits are reinvested per the waterfall.",,,,,,,,
"Net worth added is cumulative invested assets + RE equity; excludes existing assets and primary residence.",,,,,,,,
"Hours/week FALL over time as automation absorbs delivery -- the core thesis.",,,,,,,,
"DOWNSIDE case (one business fails, 5% returns, 50% contributions): ~600-800k net worth added by year 10. Still transformational.",,,,,,,,
"UPSIDE case (SaaS scales to 20k+ MRR, an acquisition lands): 3-5M+ range by year 10.",,,,,,,,
"The number that matters: by ~year 7-10, portfolio income + business cashflow can exceed living expenses = financial independence.",,,,,,,,
